Ref,Val,Package,PosX,PosY,Rot,Side
"C5","0.1u","C_0402_1005Metric",68.605400,-87.884000,270.000000,top
"C6","4.7u","C_0402_1005Metric",71.043800,-91.846400,180.000000,top
"C7","0.1u","C_0402_1005Metric",80.543400,-96.189800,0.000000,top
"C8","0.1u","C_0402_1005Metric",71.628000,-93.472000,270.000000,top
"C9","0.1u","C_0402_1005Metric",80.543400,-95.097600,0.000000,top
"C10","0.1u","C_0402_1005Metric",72.364600,-87.325200,90.000000,top
"C11","1u","C_0402_1005Metric",63.893700,-96.037400,0.000000,top
"C12","0.1u","C_0402_1005Metric",65.849500,-95.377000,270.000000,top
"C13","0.1u","C_0402_1005Metric",80.594200,-90.462100,0.000000,top
"C14","4.7u","C_0402_1005Metric",70.459600,-84.759800,180.000000,top
"C15","4.7u","C_0402_1005Metric",66.065400,-85.877400,30.000000,top
"C16","4.7u","C_0402_1005Metric",74.828400,-85.902800,330.000000,top
"C17","4.7u","C_0402_1005Metric",74.853800,-101.092000,30.000000,top
"C18","4.7u","C_0402_1005Metric",70.459600,-102.171500,180.000000,top
"C19","4.7u","C_0402_1005Metric",66.065400,-101.092000,330.000000,top
"C20","1u","C_0402_1005Metric",63.893700,-99.047300,180.000000,top
"D1","LED","LED_0402_1005Metric",70.459600,-93.472000,90.000000,top
"D2","LED","LED_0402_1005Metric",70.459600,-83.566000,0.000000,top
"D3","LED","LED_0402_1005Metric",65.481200,-84.836000,210.000000,top
"D4","LED","LED_0402_1005Metric",73.888600,-80.721200,75.000000,top
"D5","LED","LED_0402_1005Metric",70.459600,-106.705400,270.000000,top
"D6","LED","LED_0402_1005Metric",67.030600,-106.248200,255.000000,top
"D7","LED","LED_0402_1005Metric",70.459600,-80.266400,90.000000,top
"D8","LED","LED_0402_1005Metric",75.438000,-84.861400,150.000000,top
"D9","LED","LED_0402_1005Metric",61.849000,-88.519000,240.000000,top
"D10","LED","LED_0402_1005Metric",77.063600,-82.042000,60.000000,top
"D11","LED","LED_0402_1005Metric",73.888600,-106.248200,285.000000,top
"D12","LED","LED_0402_1005Metric",63.855600,-104.927400,240.000000,top
"D13","LED","LED_0402_1005Metric",67.030600,-80.695800,105.000000,top
"D14","LED","LED_0402_1005Metric",79.044800,-88.519000,120.000000,top
"D15","LED","LED_0402_1005Metric",60.502800,-93.497400,90.000000,top
"D16","LED","LED_0402_1005Metric",79.806800,-84.150200,45.000000,top
"D17","LED","LED_0402_1005Metric",77.063600,-104.927400,300.000000,top
"D18","LED","LED_0402_1005Metric",61.112400,-102.844600,225.000000,top
"D19","LED","LED_0402_1005Metric",63.855600,-82.016600,120.000000,top
"D20","LED","LED_0402_1005Metric",80.391000,-93.472000,270.000000,top
"D21","LED","LED_0402_1005Metric",61.849000,-98.450400,120.000000,top
"D22","LED","LED_0402_1005Metric",81.915000,-86.868000,30.000000,top
"D23","LED","LED_0402_1005Metric",79.806800,-102.844600,315.000000,top
"D24","LED","LED_0402_1005Metric",59.004200,-100.101400,210.000000,top
"D25","LED","LED_0402_1005Metric",61.112400,-84.124800,135.000000,top
"D26","LED","LED_0402_1005Metric",79.095600,-98.450400,240.000000,top
"D27","LED","LED_0402_1005Metric",65.506600,-102.082600,330.000000,top
"D28","LED","LED_0402_1005Metric",83.210400,-90.043000,15.000000,top
"D29","LED","LED_0402_1005Metric",81.915000,-100.101400,330.000000,top
"D30","LED","LED_0402_1005Metric",57.683400,-96.875600,195.000000,top
"D31","LED","LED_0402_1005Metric",59.004200,-86.868000,150.000000,top
"D32","LED","LED_0402_1005Metric",75.438000,-102.082600,30.000000,top
"D33","LED","LED_0402_1005Metric",70.459600,-103.454200,180.000000,top
"D34","LED","LED_0402_1005Metric",83.693000,-93.472000,0.000000,top
"D35","LED","LED_0402_1005Metric",83.235800,-96.901000,345.000000,top
"D36","LED","LED_0402_1005Metric",57.251600,-93.472000,180.000000,top
"D37","LED","LED_0402_1005Metric",57.683400,-90.043000,165.000000,top
"R1","1k","R_0402_1005Metric",67.221100,-97.993200,270.000000,top
"R2","1k","R_0402_1005Metric",66.128900,-97.993200,270.000000,top
"R3","100k","R_0402_1005Metric",63.944500,-100.647500,90.000000,top
"R4","560E","R_0402_1005Metric",78.141900,-97.905222,60.000000,top
"R5","560E","R_0402_1005Metric",62.814200,-89.052400,60.000000,top
"R6","560E","R_0402_1005Metric",69.291200,-93.472000,270.000000,top
"R7","560E","R_0402_1005Metric",70.459600,-85.928200,0.000000,top
"R8","560E","R_0402_1005Metric",74.320400,-100.126800,210.000000,top
"R9","560E","R_0402_1005Metric",70.459600,-101.041200,0.000000,top
"R10","4.7k","R_0402_1005Metric",65.836800,-92.544900,270.000000,top
"R11","4.7k","R_0402_1005Metric",63.881000,-90.957400,180.000000,top
"R12","10k","R_0402_1005Metric",61.925200,-95.377000,90.000000,top
"R13","560E","R_0402_1005Metric",66.624200,-100.126800,150.000000,top
"R14","100k","R_0402_1005Metric",71.018400,-97.993200,270.000000,top
"R15","100k","R_0402_1005Metric",69.900800,-97.993200,90.000000,top
"R17","49.9k","R_0402_1005Metric",80.594200,-91.528900,180.000000,top
"U1","ATmega328PB-MU","QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm",75.844400,-93.497400,0.000000,top
"U2","RV-8263-C7-32.768KHZ-20PPM-TA-QC","RV-8263-C7-32.768KHZ-20PPM-TA-QC",63.881000,-93.472000,0.000000,top
"U3","BMA400","BMA400",70.459600,-88.112600,180.000000,top
